review,rating,sentiment,source,category
"Warna:ok
Tekstur:buruk
Pigmentasi:Ok

seller kirim foto, semua yg aku beli dibuka kecuali blush on, barang sampe di aku lepas blush onnya, aku mnt refund karena blush on yg aku beli 175 ribu, seller mau refund cm 35 ribu kan keterlaluan bgt ya. Tp aku minta balik 75 rb, janjinya 3-7 hari ak udh kyk ngemis, baru direfund hr ke 8 :)",1.0,negative,owned_shopee,shopee_blushon
"Baguss si barangnya realpict, tapi sayang penjualnya kurang teliti bgt pas peckingnya. Pesen hitam dikirim abu tua, sedikit kecewa",2.0,negative,owned_shopee,shopee_ikat_pinggang
Barang yg dikirim kurang 1 piece.. Jd jgn pesan byk2 di tempat ini.. 👎,,negative,owned_tokped,tokped_speaker_bluetooth_negative
toko ga jelas yg di pesen charger yg dateng hansfree,1.0,negative,owned_shopee,shopee_charger
Tidak berfungsi sama sekali,1.0,negative,owned_shopee,shopee_kamera
"Gak pas , jadi gk kepasang , gk bisa nempel gara-gara gk pas",1.0,negative,owned_shopee,shopee_kamera
Pesan warna hitam yg datang warna coklat,1.0,negative,owned_shopee,shopee_sepatu_kulit
 Kualitas produk sangat baik Harga produk sangat baik Kecepatan pengiriman standar Respon penjual kurang baik,2.0,negative,owned_shopee,shopee_kamera
kurang ok flasdisk ya.. pengiriman cepat,,negative,owned_tokped,tokped_flashdisk_negative
pesan masker yang dewasa datang yang anak anak,,negative,owned_tokped,tokped_masker_negative
g mau tau alamat pengiriman dmna asal kirim aja..,,negative,owned_tokped,tokped_speaker_bluetooth_negative
"kecewa Boss,,, beli 2pcs semua rusak,,, hadeeeww,,,",,negative,owned_tokped,tokped_flashdisk_negative
"PENIPUAN, KIRIM BARANG RUSAK",1.0,negative,owned_shopee,shopee_kipas
Kabel data kosong tp di ganti dng uang ,1.0,negative,owned_shopee,shopee_charger
Pas dipakai baterai drop,,negative,owned_tokped,tokped_speaker_bluetooth_negative
"Barang sudah sampai tapi lamaa sekali, pengemasan seadanya kita itu tinggal jauh ngirim barang kok cuma dikardusin sampe sini sudah hacur gak karu karuan  tolong diperhatikan, makanya kasih bintang 2 aja",2.0,negative,owned_shopee,shopee_kipas
Untuk pertama x bagus product ny. Ini orderan ke 2 kok ada bekas kyk kepentok gitu quality ny ga sesuai dgn harga lolzzz,,negative,owned_tokped,tokped_speaker_bluetooth_negative
"kenapa yg dikirim warna biru sama merah ,",,negative,owned_tokped,tokped_masker_negative
